ID,Manufacturer (PE),Model (PE),Manufacturer (BAT),Model (BAT),Type [-coupled],P_PV2AC_in [W],P_PV2AC_out [W],U_PV_min [V],U_PV_nom [V],U_PV_max [V],U_MPP_min [V],U_MPP_max [V],P_PV2AC_out [W],P_AC2BAT_in [W],P_AC2BAT_in [W],P_BAT2AC_out [W],P_BAT2AC_out [W],P_PV2BAT_in [W],P_BAT2PV_out [W],P_PV2BAT_out [W],P_BAT2AC_in [W],U_BAT_min [V],U_BAT_nom [V],U_BAT_max [V],E_BAT_100 [kWh],E_BAT_50 [kWh],E_BAT_25 [kWh],E_BAT_usable [kWh],eta_BAT_100,eta_BAT_50,eta_BAT_25,eta_BAT,P_SYS_SOC1_AC [W],P_SYS_SOC1_DC [W],P_SYS_SOC0_AC [W],P_SYS_SOC0_DC [W],P_PVINV_AC [W],P_PERI_AC [W],P_PV2BAT_DEV_IMPORT [W],P_PV2BAT_DEV_EXPORT [W],P_BAT2AC_DEV_IMPORT [W],P_BAT2AC_DEV_EXPORT [W],t_DEAD [s],t_SETTLING [s],p_PV2AC_5,p_PV2AC_10,p_PV2AC_20,p_PV2AC_25,p_PV2AC_30,p_PV2AC_50,p_PV2AC_75,p_PV2AC_100,eta_PV2AC_5,eta_PV2AC_10,eta_PV2AC_20,eta_PV2AC_25,eta_PV2AC_30,eta_PV2AC_50,eta_PV2AC_75,eta_PV2AC_100,p_PV2BAT_5,p_PV2BAT_10,p_PV2BAT_20,p_PV2BAT_25,p_PV2BAT_30,p_PV2BAT_50,p_PV2BAT_75,p_PV2BAT_100,eta_PV2BAT_5,eta_PV2BAT_10,eta_PV2BAT_20,eta_PV2BAT_25,eta_PV2BAT_30,eta_PV2BAT_50,eta_PV2BAT_75,eta_PV2BAT_100,p_AC2BAT_5,p_AC2BAT_10,p_AC2BAT_20,p_AC2BAT_25,p_AC2BAT_30,p_AC2BAT_50,p_AC2BAT_75,p_AC2BAT_100,eta_AC2BAT_5,eta_AC2BAT_10,eta_AC2BAT_20,eta_AC2BAT_25,eta_AC2BAT_30,eta_AC2BAT_50,eta_AC2BAT_75,eta_AC2BAT_100,p_BAT2AC_5,p_BAT2AC_10,p_BAT2AC_20,p_BAT2AC_25,p_BAT2AC_30,p_BAT2AC_50,p_BAT2AC_75,p_BAT2AC_100,eta_BAT2AC_5,eta_BAT2AC_10,eta_BAT2AC_20,eta_BAT2AC_25,eta_BAT2AC_30,eta_BAT2AC_50,eta_BAT2AC_75,eta_BAT2AC_100,p_BAT2PV_5,p_BAT2PV_10,p_BAT2PV_20,p_BAT2PV_25,p_BAT2PV_30,p_BAT2PV_50,p_BAT2PV_75,p_BAT2PV_100,eta_BAT2PV_5,eta_BAT2PV_10,eta_BAT2PV_20,eta_BAT2PV_25,eta_BAT2PV_30,eta_BAT2PV_50,eta_BAT2PV_75,eta_BAT2PV_100
S2,Siemens,"Junelight Smart Battery 9,9",,,AC,,,,,,,,,,3572.0,3507.0,,,,3391.8,3719.0,42.0,51.8,58.8,8.88,8.87,8.79,8.85,96.4,97.2,97.0,96.87,14.9,0.1,12.1,0.0,,1.0,0.6,2.1,1.9,0.8,1.6,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.08,0.19,0.24,0.29,0.5,0.75,1.0,72.9,87.1,92.9,94.1,94.7,95.6,95.4,95.0,0.05,0.1,0.2,0.25,0.29,0.49,0.76,1.0,83.1,89.3,93.4,94.3,94.7,95.3,95.0,94.3,,,,,,,,,,,,,,,,
S3,KOSTAL,PLENTICORE plus 5.5,BYD,Battery-Box H6.4,DC,5686.0,,120.0,570.0,1000.0,225.0,720.0,5487.0,,,,3157.0,,,3445.0,3319.0,200.0,256.0,282.0,5.76,5.61,5.68,5.68,95.08,95.2,94.17,94.82,,0.15,4.47,4.56,,1.55,0.0,13.84,1.98,2.86,0.63,2.79,0.04,0.1,0.2,0.25,0.3,0.5,0.75,1.0,86.94,92.72,95.34,95.84,96.11,96.6,96.63,96.5,0.03,0.08,0.19,0.24,0.29,0.49,0.75,1.0,73.65,85.82,91.71,92.85,93.55,95.06,95.71,96.07,,,,,,,,,,,,,,,,,0.05,0.1,0.2,0.25,0.3,0.5,0.75,1.0,80.58,88.15,92.3,93.19,93.73,94.71,94.93,95.11,,,,,,,,,,,,,,,,
S4,KOSTAL,PLENTICORE plus 10,BYD,Battery-Box H11.5,DC,10380.0,,120.0,570.0,1000.0,405.0,720.0,9921.0,,,,5776.0,,,6214.0,6008.0,360.0,460.0,500.0,10.61,10.44,10.47,10.51,95.39,95.48,94.98,95.28,,0.15,4.47,4.71,,1.77,1.34,10.97,2.98,2.65,0.61,2.74,0.05,0.1,0.2,0.25,0.3,0.51,0.76,1.0,91.03,94.8,96.31,96.52,96.65,96.71,96.21,95.56,0.04,0.09,0.19,0.24,0.29,0.5,0.75,1.0,83.83,91.34,94.78,95.57,96.04,96.95,97.34,97.36,,,,,,,,,,,,,,,,,0.05,0.1,0.2,0.25,0.3,0.5,0.75,1.0,87.54,92.44,95.02,95.5,95.78,96.35,96.27,96.15,,,,,,,,,,,,,,,,
S5,Fronius,Symo GEN24 10.0 Plus,BYD,Battery-Box H11.5,DC,10222.5,,80.0,610.0,1000.0,278.0,800.0,10042.4,9997.2,,,9822.6,,,9723.6,10060.2,360.0,460.0,500.0,9.69,9.62,9.83,9.71,95.93,96.5,95.99,96.14,,44.0,9.0,0.0,,1.0,1.0,2.9,3.0,1.2,1.6,14.2,0.05,0.09,0.2,0.25,0.3,0.5,0.75,1.0,93.79,96.4,97.65,97.9,97.99,98.08,98.04,97.9,0.04,0.09,0.19,0.24,0.3,0.5,0.75,1.0,93.32,96.65,97.87,98.21,98.48,98.91,99.08,99.07,0.05,0.1,0.2,0.25,0.3,0.5,0.75,1.0,93.32,95.85,96.9,97.16,97.24,97.44,97.36,97.16,0.05,0.1,0.2,0.25,0.3,0.5,0.75,1.0,93.89,96.29,97.28,97.55,97.69,97.87,97.8,97.64,,,,,,,,,,,,,,,,
INV1,SMA,Sunny Boy 5.0,,,PVINV,4764.17,4600.0,100.0,400.0,600.0,175.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.11,,0.27,,0.54,0.82,1.0,,95.41,,96.8,,97.11,96.79,96.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INV2,SMA,Sunny Tripower 10.0,,,PVINV,10214.5,10000.0,125.0,580.0,1000.0,320.0,800.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,0.05,0.1,0.2,0.25,0.3,0.5,0.75,1.0,94.4,96.6,97.8,98.1,98.2,98.3,98.2,97.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
